Name,LLoydNumber,GrossRegisterTonnage,NetRegisterTonnage,Latest VOS,Latest ETA,Name_New,MMSI,GrossRegisterTonnage_New,NetRegisterTonnage_NEW,CallSign,Flag,Length,Beam,Draught,Deadweight,YearBuilt,OldNames,Active,YearBuilt
ANTHIA,9238674,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTHONY BOY II,8939374,143,103,NULL,NULL,,,,,,,,,,,,,,
ANTILLES II,9223667,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTILLES III,9246920,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTILLES IV,8110588,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTILLES V,9267857,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTILLES VI,9343819,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTILLES VII,9343821,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTIMILOS ,9282998,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTJE SCHULTE,9138252,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTON SCHULTE,9398254,75582,48319,VOS0000019445,12/16/2018 5:00,,,,,,,,,,,,,,
ANTONIS,8126630,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTWERPEN,7802952,0,0,NULL,NULL,,,,,,,,,,,,,,
ANYA ROBYN,8405933,0,0,NULL,NULL,,,,,,,,,,,,,,
AP SLANO,9556404,0,0,NULL,NULL,,,,,,,,,,,,,,
APACHE MAIDEN,8608781,0,0,NULL,NULL,,,,,,,,,,,,,,
APELLIS,9467976,0,0,NULL,NULL,,,,,,,,,,,,,,
APHRODITE I,8204509,0,0,NULL,NULL,,,,,,,,,,,,,,
APHRODITE LEADER,9335953,0,0,NULL,NULL,,,,,,,,,,,,,,
APISARA NAREE,9127045,0,0,NULL,NULL,,,,,,,,,,,,,,
APOLLON LEADER,9402706,0,0,NULL,NULL,,,,,,,,,,,,,,
APOLLONAS,9136773,0,0,NULL,NULL,,,,,,,,,,,,,,
APOLLONIA,9224867,0,0,NULL,NULL,,,,,,,,,,,,,,
APOSTOLOS,9327451,0,0,NULL,NULL,,,,,,,,,,,,,,
APOSTOLOS II,9260158,0,0,NULL,NULL,,,,,,,,,,,,,,
AQUA PEARL,7909865,0,0,NULL,NULL,,,,,,,,,,,,,,
AQUA PRIDE,9624378,0,0,NULL,NULL,,,,,,,,,,,,,,
AQUILA,9594573,0,0,NULL,NULL,,,,,,,,,,,,,,
AQUILA COMPANION,9204790,0,0,NULL,NULL,,,,,,,,,,,,,,
ARABELLA I,8518651,0,0,NULL,NULL,,,,,,,,,,,,,,
ARAGAS,8012281,0,0,NULL,NULL,,,,,,,,,,,,,,
ARAGONBORG,9466312,0,0,NULL,NULL,,,,,,,,,,,,,,
ARAMAC,9185401,0,0,NULL,NULL,,,,,,,,,,,,,,
ARAPAHO BELLE,9157428,0,0,NULL,NULL,,,,,,,,,,,,,,
ARAUCARIA,8301321,0,0,NULL,NULL,,,,,,,,,,,,,,
ARAYA,9224843,0,0,NULL,NULL,,,,,,,,,,,,,,
ARCADIA II,9226906,0,0,NULL,NULL,,,,,,,,,,,,,,
ARCADIA III,9182045,0,0,NULL,NULL,,,,,,,,,,,,,,
ARCTIC BLIZZARD,9350862,0,0,NULL,NULL,,,,,,,,,,,,,,
ARCTIC CLIPPER,7714208,0,0,NULL,NULL,,,,,,,,,,,,,,
ARDMORE CALYPSO,9512123,0,0,NULL,NULL,,,,,,,,,,,,,,
ARDMORE CAPELLA,9512111,0,0,NULL,NULL,,,,,,,,,,,,,,
ARDMORE CENTURION,9313448,0,0,NULL,NULL,,,,,,,,,,,,,,
ARDMORE SEAFARER,9320261,0,0,NULL,NULL,,,,,,,,,,,,,,
ARDMORE SEAVALIANT,9539913,0,0,NULL,NULL,,,,,,,,,,,,,,
ARETOUSA,7602596,0,0,NULL,NULL,,,,,,,,,,,,,,
ARGON,7403251,0,0,NULL,NULL,,,,,,,,,,,,,,
ARGOS,9477787,0,0,NULL,NULL,,,,,,,,,,,,,,
ARGUS,7822550,0,0,NULL,NULL,,,,,,,,,,,,,,
ARIADNE I,9292967,0,0,NULL,NULL,,,,,,,,,,,,,,
ARIAKE,9294159,0,0,NULL,NULL,,,,,,,,,,,,,,
ARIAN,9517434,0,0,VOS0000016169,9/10/2018 7:00,,,,,,,,,,,,,,
ARIANA,9327671,0,0,NULL,NULL,,,,,,,,,,,,,,
ARIES,8705606,0,0,NULL,NULL,,,,,,,,,,,,,,
ARIS,9289520,0,0,NULL,NULL,,,,,,,,,,,,,,
ARISBE,8413473,0,0,NULL,NULL,,,,,,,,,,,,,,
ARISTOES,8602555,0,0,NULL,NULL,,,,,,,,,,,,,,
ARISTOMENIS,9408841,113515,58731,VOS0000013213,6/9/2018 21:00,,,,,,,,,,,,,,
ARNE,9142564,0,0,NULL,NULL,,,,,,,,,,,,,,
AROSA,9229879,0,0,VOS0000010317,3/13/2018 3:00,,,,,,,,,,,,,,
ARSOS,9395123,15375,5983,VOS0000018452,11/14/2018 7:00,,,,,,,,,,,,,,
ARTANIA,8201480,0,0,NULL,NULL,,,,,,,,,,,,,,
ARTEMIS,8505824,0,0,NULL,NULL,,,,,,,,,,,,,,
ARTEMIS X WESTERN ARCTIC,9291640,0,0,NULL,NULL,,,,,,,,,,,,,,
ARTIC,6717485,0,0,NULL,NULL,,,,,,,,,,,,,,
ARTIC BREEZE ,9350850,0,0,NULL,NULL,,,,,,,,,,,,,,
ARUBA PEARL,8303692,0,0,NULL,NULL,,,,,,,,,,,,,,
AS ALICANTIA,9204972,0,0,NULL,NULL,,,,,,,,,,,,,,
AS ARIES,9225421,0,0,NULL,NULL,,,,,,,,,,,,,,
AS CATALANIA,9315824,0,0,NULL,NULL,,,,,,,,,,,,,,
AS FABIANA,9395109,15375,5983,VOS0000030434,NULL,,,,,,,,,,,,,,
AS FEDERICA,9395068,15375,5983,VOS0000039473,8/23/2020 21:00,,,,,,,,,,,,,,
AS FELICIA,9395020,15375,5983,VOS0000028592,9/10/2019 14:00,,,,,,,,,,,,,,
AS JUTLANDIA,9358436,0,0,NULL,NULL,,,,,,,,,,,,,,
AS OLIVIA,9340489,0,0,NULL,NULL,,,,,,,,,,,,,,
AS OMARIA,9363819,0,0,NULL,NULL,,,,,,,,,,,,,,
AS PEGASUS,9134581,0,0,NULL,NULL,,,,,,,,,,,,,,
AS VEGA,9225433,0,0,NULL,NULL,,,,,,,,,,,,,,
AS VIRGINIA ,9453224,0,0,NULL,NULL,,,,,,,,,,,,,,
ASAGIRI,8903296,0,0,NULL,NULL,,,,,,,,,,,,,,
ASAHI MARU,9594389,0,0,NULL,NULL,,,,,,,,,,,,,,
ASCENSION,1074545,0,0,NULL,NULL,,,,,,,,,,,,,,
ASHLEY SEA,9316224,0,0,NULL,NULL,,,,,,,,,,,,,,
ASIA RUBY I,9669378,0,0,NULL,NULL,,,,,,,,,,,,,,
ASIAN CARRIER,9271963,0,0,NULL,NULL,,,,,,,,,,,,,,
ASIAN DYNASTY,9203588,55719,20734,VOS0000032957,1/19/2020 6:00,,,,,,,,,,,,,,
ASIAN GLORY I,9113329,0,0,NULL,NULL,,,,,,,,,,,,,,
ASIAN GLORY II,9301532,0,0,NULL,NULL,,,,,,,,,,,,,,
ASIAN MOON,9359117,0,0,VOS0000040425,8/20/2020 15:00,,,,,,,,,,,,,,
ASIAN SUN,9359105,0,0,VOS0000023638,4/22/2019 13:00,,,,,,,,,,,,,,
ASIAN TRUST,9203590,0,0,VOS0000033955,2/18/2020 6:00,,,,,,,,,,,,,,
ASKABAT,8811405,0,0,NULL,NULL,,,,,,,,,,,,,,
ASKARA,9431886,0,0,NULL,NULL,,,,,,,,,,,,,,
ASKLIPIOS,9408877,113412,58731,VOS0000012189,5/9/2018 22:00,,,,,,,,,,,,,,
ASOPOS,9309253,0,0,NULL,NULL,,,,,,,,,,,,,,
ASPHALT EAGLE,9288382,27284,13580,VOS0000009344,2/8/2018 6:00,,,,,,,,,,,,,,
ASPHALT SPRING,9394727,6457,1985,VOS0000021372,2/7/2019 19:00,,,,,,,,,,,,,,
ASPHALT SUMMER,9394739,0,0,NULL,NULL,,,,,,,,,,,,,,
ASPHALT TRADER,7922623,0,0,NULL,NULL,,,,,,,,,,,,,,
ASPILOS,8016990,0,0,NULL,NULL,,,,,,,,,,,,,,
ASSOS STRIKER,9431513,0,0,NULL,NULL,,,,,,,,,,,,,,
ASTAKOS,7907799,0,0,NULL,NULL,,,,,,,,,,,,,,
ASTERION,9595125,0,0,VOS0000038394,6/20/2020 1:00,,,,,,,,,,,,,,
ASTIR LADY,9457385,0,0,NULL,NULL,,,,,,,,,,,,,,
ASTRAL ACE,9182368,0,0,NULL,NULL,,,,,,,,,,,,,,
ASUKA II,8806204,0,0,NULL,NULL,,,,,,,,,,,,,,
ATALANTE,9363168,0,0,NULL,NULL,,,,,,,,,,,,,,
ATENEA,7119991,0,0,NULL,NULL,,,,,,,,,,,,,,
ATHENS HIGHWAY,9443073,0,0,NULL,NULL,,,,,,,,,,,,,,
