Name                                                                                                                                                                                                                                                           ,CountryID ,flag ,LLoydNumber ,CallSignNumber                      ,Draft                                   ,DraftMax                                ,LengthOverall                           ,BreadthOverall                          ,GrossRegisterTonnage                    ,NetRegisterTonnage                      ,Expr1                                                                                                                            ,Description
STI SOHO                                                                                                                                                                                                                                                         ,MHL       ,MHL  ,9686754     ,12092                               ,0.00                                    ,NULL                                    ,175.33                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
TR PRINCESS                                                                                                                                                                                                                                                      ,MHL       ,MHL  ,9742663     ,11740                               ,0.00                                    ,NULL                                    ,194.85                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
BBC PERU                                                                                                                                                                                                                                                         ,ATG       ,ATG  ,9210323     ,9868                                ,8.00                                    ,NULL                                    ,102.24                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
GWENDOLYN                                                                                                                                                                                                                                                        ,PHL       ,PHL  ,9109512     ,8291                                ,9.12                                    ,NULL                                    ,136.51                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ATLANTIC BREEZE                                                                                                                                                                                                                                                  ,HKG       ,HKG  ,9360336     ,11256                               ,0.00                                    ,NULL                                    ,175.56                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
TEOATL                                                                                                                                                                                                                                                           ,MEX       ,MEX  ,8131221     ,7354                                ,9.69                                    ,NULL                                    ,155.30                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
CHEMBULK CASABLANCA                                                                                                                                                                                                                                              ,SGP       ,SGP  ,9204805     ,8156                                ,9.23                                    ,NULL                                    ,141.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ALTAMAR                                                                                                                                                                                                                                                          ,VCT       ,VCT  ,8416494     ,9463                                ,3.35                                    ,NULL                                    ,62.75                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
CLIPPER MARIA                                                                                                                                                                                                                                                    ,CYP       ,CYP  ,9452323     ,10022                               ,6.94                                    ,NULL                                    ,122.62                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
MARTHA                                                                                                                                                                                                                                                           ,ATG       ,ATG  ,9373333     ,12060                               ,0.00                                    ,NULL                                    ,95.39                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ISABELLA KOSAN                                                                                                                                                                                                                                                   ,IMN       ,IMN  ,9342384     ,9205                                ,8.65                                    ,NULL                                    ,108.95                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
FEDERAL NAKAGAWA                                                                                                                                                                                                                                                 ,CHN       ,CHN  ,9278791     ,8135                                ,10.73                                   ,NULL                                    ,191.93                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
TUG WIP SPIRIT                                                                                                                                                                                                                                                   ,JAM       ,JAM  ,8971073     ,11706                               ,0.00                                    ,NULL                                    ,35.05                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
SEA WIND                                                                                                                                                                                                                                                         ,LBR       ,LBR  ,8602361     ,10868                               ,0.00                                    ,NULL                                    ,110.56                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
O.M. IRIDIUM                                                                                                                                                                                                                                                     ,LBR       ,LBR  ,9337030     ,11583                               ,0.00                                    ,NULL                                    ,182.35                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
TUG GUARDIAN                                                                                                                                                                                                                                                     ,USA       ,USA  ,7046091     ,8015                                ,5.40                                    ,NULL                                    ,43.09                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
LOGAN                                                                                                                                                                                                                                                            ,LBR       ,LBR  ,9035084     ,9185                                ,7.95                                    ,NULL                                    ,130.07                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ALIA R                                                                                                                                                                                                                                                           ,MLT       ,MLT  ,9149718     ,8574                                ,9.67                                    ,NULL                                    ,170.36                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
CHEMBULK TORTOLA                                                                                                                                                                                                                                                 ,PAN       ,PAN  ,9342786     ,11676                               ,10.00                                   ,NULL                                    ,133.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
CENTURY MELODY                                                                                                                                                                                                                                                   ,PAN       ,PAN  ,9580211     ,10460                               ,8.33                                    ,NULL                                    ,130.11                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
NORTHERN OCEAN                                                                                                                                                                                                                                                   ,MHL       ,MHL  ,9298492     ,10307                               ,13.27                                   ,NULL                                    ,175.38                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
TUG RESOLVE SUHAILI                                                                                                                                                                                                                                              ,PAN       ,PAN  ,7626592     ,9925                                ,4.83                                    ,NULL                                    ,51.12                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
GISELA OLDENDORFF                                                                                                                                                                                                                                                ,LBR       ,LBR  ,9134804     ,8121                                ,9.75                                    ,NULL                                    ,140.22                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
HAPPY BIRD                                                                                                                                                                                                                                                       ,IMN       ,IMN  ,9197727     ,10502                               ,7.75                                    ,NULL                                    ,111.56                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
SIR TRISTRAM                                                                                                                                                                                                                                                     ,GBR       ,GBR  ,6704373     ,7366                                ,3.98                                    ,NULL                                    ,135.80                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
TAJIN                                                                                                                                                                                                                                                            ,MEX       ,MEX  ,9258014     ,11551                               ,0.00                                    ,NULL                                    ,173.13                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
KLAZINA C                                                                                                                                                                                                                                                        ,GBR       ,GBR  ,9384186     ,8770                                ,6.70                                    ,NULL                                    ,104.11                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
KOBE GLORIA                                                                                                                                                                                                                                                      ,PAN       ,PAN  ,9668324     ,10949                               ,0.00                                    ,NULL                                    ,161.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ALEXANDRIA                                                                                                                                                                                                                                                       ,GRC       ,GRC  ,8004181     ,7777                                ,10.65                                   ,NULL                                    ,170.32                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ONEGO BURAN                                                                                                                                                                                                                                                      ,CYP       ,CYP  ,9578359     ,10070                               ,6.40                                    ,NULL                                    ,110.03                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
SIDER COL                                                                                                                                                                                                                                                        ,PAN       ,PAN  ,9656541     ,12130                               ,0.00                                    ,NULL                                    ,131.37                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
CAJA COUNTESS                                                                                                                                                                                                                                                    ,MHL       ,MHL  ,9126730     ,8998                                ,6.39                                    ,NULL                                    ,95.31                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
CHEM POLLUX                                                                                                                                                                                                                                                      ,MHL       ,MHL  ,9047544     ,9207                                ,8.25                                    ,NULL                                    ,127.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
RIBO                                                                                                                                                                                                                                                             ,COK       ,COK  ,8117835     ,11316                               ,0.00                                    ,NULL                                    ,75.06                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
NORDIC BOTHNIA                                                                                                                                                                                                                                                   ,HKG       ,HKG  ,9079157     ,10142                               ,11.52                                   ,NULL                                    ,185.33                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
BBC ROMANIA                                                                                                                                                                                                                                                      ,GIB       ,GIB  ,9195420     ,10488                               ,5.74                                    ,NULL                                    ,92.75                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
STENA CONQUEROR                                                                                                                                                                                                                                                  ,ITA       ,ITA  ,9252448     ,7516                                ,12.18                                   ,NULL                                    ,175.80                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
NORIENT STAR                                                                                                                                                                                                                                                     ,MLT       ,MLT  ,9396385     ,11544                               ,0.00                                    ,NULL                                    ,173.65                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
PIONEER ATLANTIC                                                                                                                                                                                                                                                 ,HKG       ,HKG  ,9057458     ,11633                               ,0.00                                    ,NULL                                    ,216.55                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
LUNA DEL MAR                                                                                                                                                                                                                                                     ,KHM       ,KHM  ,7385992     ,7582                                ,7.58                                    ,NULL                                    ,126.90                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
NOR BULK 4                                                                                                                                                                                                                                                       ,SGP       ,SGP  ,9589956     ,10528                               ,0.00                                    ,NULL                                    ,104.11                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
PARIS                                                                                                                                                                                                                                                            ,VCT       ,VCT  ,7628007     ,8855                                ,8.25                                    ,NULL                                    ,122.70                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
SIRIUS I                                                                                                                                                                                                                                                         ,GRC       ,GRC  ,9111175     ,7090                                ,12.25                                   ,NULL                                    ,174.64                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
HAPPY CONDOR                                                                                                                                                                                                                                                     ,SGP       ,SGP  ,9368780     ,10248                               ,8.80                                    ,NULL                                    ,112.58                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ALDERNY                                                                                                                                                                                                                                                          ,ATG       ,ATG  ,9280718     ,10566                               ,5.55                                    ,NULL                                    ,81.07                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
MAINPORT OAK                                                                                                                                                                                                                                                     ,MHL       ,MHL  ,8213902     ,10629                               ,4.81                                    ,NULL                                    ,52.53                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
SPAR SIRIUS                                                                                                                                                                                                                                                      ,NOR       ,NOR  ,9104615     ,10092                               ,11.62                                   ,NULL                                    ,178.08                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ISLA BALLENA                                                                                                                                                                                                                                                     ,PAN       ,PAN  ,8208816     ,9390                                ,4.60                                    ,NULL                                    ,53.50                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
NAKALA STAR                                                                                                                                                                                                                                                      ,PAN       ,PAN  ,9161027     ,9047                                ,6.10                                    ,NULL                                    ,84.53                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
BENETE BAY                                                                                                                                                                                                                                                       ,PAN       ,PAN  ,9445203     ,10196                               ,9.82                                    ,NULL                                    ,161.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
AFRICAN GLORY                                                                                                                                                                                                                                                    ,HKG       ,HKG  ,9177492     ,9438                                ,9.73                                    ,NULL                                    ,146.13                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
HANSA RONNEBURG                                                                                                                                                                                                                                                  ,LBR       ,LBR  ,9256391     ,11702                               ,0.00                                    ,NULL                                    ,166.10                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
BAHIA                                                                                                                                                                                                                                                            ,CYP       ,CYP  ,9152466     ,11033                               ,0.00                                    ,NULL                                    ,146.15                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ARAYA                                                                                                                                                                                                                                                            ,MLT       ,MLT  ,9224843     ,10769                               ,9.69                                    ,NULL                                    ,161.15                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
PEACE                                                                                                                                                                                                                                                            ,BGR       ,BGR  ,9553983     ,11622                               ,0.00                                    ,NULL                                    ,147.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
OPTIMUS                                                                                                                                                                                                                                                          ,LBR       ,LBR  ,8030192     ,9289                                ,8.04                                    ,NULL                                    ,108.25                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
ESER KAPTANOGLU                                                                                                                                                                                                                                                  ,TUR       ,TUR  ,8102414     ,7292                                ,11.02                                   ,NULL                                    ,178.45                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
MAGDALENA GREEN                                                                                                                                                                                                                                                  ,NLD       ,NLD  ,9232462     ,7808                                ,9.70                                    ,NULL                                    ,133.36                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
KINATSI                                                                                                                                                                                                                                                          ,PHL       ,PHL  ,9354052     ,8782                                ,8.45                                    ,NULL                                    ,132.48                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
MARIANA                                                                                                                                                                                                                                                          ,PAN       ,PAN  ,9571595     ,11266                               ,0.00                                    ,NULL                                    ,172.84                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
THORCO WINNER                                                                                                                                                                                                                                                    ,HKG       ,HKG  ,9254757     ,10463                               ,9.22                                    ,NULL                                    ,94.58                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Other sea-going vessel                                                                                                           ,"Sea-going vessel, not otherwise specified."
